WHO_REGION,ISO_2_CODE,ADM1_NAME,ADM0_NAME,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,GUID,ISO_3_CODE,WHO_CODE,ADM1_ALTNA,ADM1_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM1_VIZ_N,ADM0_GUID,NOTES,ADM0_VIZ_N,ADM1_PCODE,ADM0_PCODE,ADM1_SHAPE,ADM0_SHAPE,WHO_SUBREG,GlobalID,CODE,dates,rainfall
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-09-01,36.823196326948484
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-10-01,18.7464922355937
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-11-01,9.138847076736182
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-12-01,6.35896270900259
AFRO,ET,AMHARA,ETHIOPIA,ET001014000000000000,ET001000000000000000,2019-01-01,9999-12-31,27b7a2fc-89fb-4887-99b0-1588e7db4a61,ETH,ETH,NA,AMH,1,Member state,231,ESARO,37.9918057494,11.5138548559,Amhara,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,9a658cf2-1ff4-43e4-964f-c97c2ad5eb58,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,0ba3263b-2085-4596-a739-26736cf3a822,{27B7A2FC-89FB-4887-99B0-1588E7DB4A61},2014-01-01,7.404082772039009
AFRO,ET,AMHARA,ETHIOPIA,ET001014000000000000,ET001000000000000000,2019-01-01,9999-12-31,27b7a2fc-89fb-4887-99b0-1588e7db4a61,ETH,ETH,NA,AMH,1,Member state,231,ESARO,37.9918057494,11.5138548559,Amhara,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,9a658cf2-1ff4-43e4-964f-c97c2ad5eb58,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,0ba3263b-2085-4596-a739-26736cf3a822,{27B7A2FC-89FB-4887-99B0-1588E7DB4A61},2014-02-01,11.908509003511071
AFRO,ET,AMHARA,ETHIOPIA,ET001014000000000000,ET001000000000000000,2019-01-01,9999-12-31,27b7a2fc-89fb-4887-99b0-1588e7db4a61,ETH,ETH,NA,AMH,1,Member state,231,ESARO,37.9918057494,11.5138548559,Amhara,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,9a658cf2-1ff4-43e4-964f-c97c2ad5eb58,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,0ba3263b-2085-4596-a739-26736cf3a822,{27B7A2FC-89FB-4887-99B0-1588E7DB4A61},2014-03-01,63.03990425912936
AFRO,ET,AMHARA,ETHIOPIA,ET001014000000000000,ET001000000000000000,2019-01-01,9999-12-31,27b7a2fc-89fb-4887-99b0-1588e7db4a61,ETH,ETH,NA,AMH,1,Member state,231,ESARO,37.9918057494,11.5138548559,Amhara,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,9a658cf2-1ff4-43e4-964f-c97c2ad5eb58,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,0ba3263b-2085-4596-a739-26736cf3a822,{27B7A2FC-89FB-4887-99B0-1588E7DB4A61},2014-04-01,66.0289382242826
AFRO,ET,AMHARA,ETHIOPIA,ET001014000000000000,ET001000000000000000,2019-01-01,9999-12-31,27b7a2fc-89fb-4887-99b0-1588e7db4a61,ETH,ETH,NA,AMH,1,Member state,231,ESARO,37.9918057494,11.5138548559,Amhara,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,9a658cf2-1ff4-43e4-964f-c97c2ad5eb58,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,0ba3263b-2085-4596-a739-26736cf3a822,{27B7A2FC-89FB-4887-99B0-1588E7DB4A61},2014-05-01,135.90020193996554
AFRO,ET,AMHARA,ETHIOPIA,ET001014000000000000,ET001000000000000000,2019-01-01,9999-12-31,27b7a2fc-89fb-4887-99b0-1588e7db4a61,ETH,ETH,NA,AMH,1,Member state,231,ESARO,37.9918057494,11.5138548559,Amhara,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,9a658cf2-1ff4-43e4-964f-c97c2ad5eb58,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,0ba3263b-2085-4596-a739-26736cf3a822,{27B7A2FC-89FB-4887-99B0-1588E7DB4A61},2014-06-01,94.1533895213883
